City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
302,Labuhan,ID,-6.8844,112.2051,72.81,83,47,7.47,scattered clouds
303,Houma,US,29.5958,-90.7195,96.8,70,40,3.44,scattered clouds
304,Omsukchan,RU,62.5333,155.8,50.86,99,100,6.42,light rain
305,Sorong,ID,-0.8833,131.25,77.11,87,100,8.99,overcast clouds
306,Maromitsa,RU,59.8683,48.0123,52.72,71,82,4.99,broken clouds
307,Hounde,BF,11.5,-3.5167,79.23,70,55,6.22,broken clouds
308,Louviers,FR,49.2167,1.1667,65.75,88,20,9.22,few clouds
309,Mao,ES,39.8885,4.2658,75.76,73,0,11.5,clear sky
310,Scarborough,GB,54.2797,-0.4044,65.86,76,87,8.86,overcast clouds
311,Dafeng,CN,23.4517,108.5881,78.85,89,55,2.26,broken clouds
312,Karratha,AU,-20.7377,116.8463,69.03,48,55,5.95,broken clouds
313,Qaqortoq,GL,60.7167,-46.0333,59.5,66,60,5.82,broken clouds
314,Benalla,AU,-36.55,145.9833,49.75,98,100,6.04,overcast clouds
315,Ahipara,NZ,-35.1667,173.1667,57.36,91,14,10.92,few clouds
316,Beyneu,KZ,45.3167,55.2,88.83,18,73,12.39,broken clouds
317,Bolobo,CD,-2.1667,16.2333,78.58,40,99,2.37,overcast clouds
318,Aksu,CN,41.1231,80.2644,85.26,26,0,2.8,clear sky
319,Mogadishu,SO,2.0371,45.3438,76.55,77,91,20.45,light rain
320,Kungurtug,RU,50.5994,97.5228,52.59,94,88,1.79,overcast clouds
321,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,59.59,100,20,4.47,few clouds
322,Antofagasta,CL,-23.65,-70.4,60.08,78,71,8.5,broken clouds
323,Sangar,RU,63.9242,127.4739,57.88,73,3,4.41,clear sky
324,Lasa,IT,46.6166,10.7002,62.02,89,67,2.28,broken clouds
325,Umea,SE,63.8284,20.2597,62.53,82,0,2.3,clear sky
326,Sechura,PE,-5.5569,-80.8222,76.01,62,28,15.19,scattered clouds
327,Marystown,CA,47.1666,-55.1483,60.98,76,73,3.76,broken clouds
328,Tautira,PF,-17.7333,-149.15,82.42,69,0,10.42,clear sky
329,Zile,TR,40.3031,35.8864,69.12,85,1,3.4,clear sky
330,Seoul,KR,37.5683,126.9778,81.97,65,0,10.36,clear sky
331,Duluth,US,46.7833,-92.1066,89.29,26,1,5.01,clear sky
332,Camana,PE,-16.6228,-72.7111,61.92,81,61,6.2,broken clouds
333,Sur,OM,22.5667,59.5289,93.49,52,55,12.82,broken clouds
334,Sambava,MG,-14.2667,50.1667,65.59,84,54,10.94,broken clouds
335,Darayya,SY,33.459,36.2374,77.76,46,0,4.85,clear sky
336,Uspenka,UA,48.3903,39.1619,71.83,50,34,5.57,scattered clouds
337,Bismarck,US,46.8083,-100.7837,95.86,23,1,3.0,clear sky
338,Conroe,US,30.3119,-95.456,97.79,51,1,4.61,clear sky
339,Bodaybo,RU,57.8506,114.1933,57.07,76,34,2.66,scattered clouds
340,Ust-Tsilma,RU,65.441,52.1498,44.91,96,97,6.04,overcast clouds
341,Chagoda,RU,59.164,35.3285,56.5,72,17,3.91,few clouds
342,Auki,SB,-8.7676,160.7034,76.57,88,93,4.7,overcast clouds
343,Tromso,NO,69.6496,18.957,54.25,93,75,3.44,broken clouds
344,Fairview,US,40.8126,-73.999,87.49,69,90,0.0,overcast clouds
345,Buzuluk,RU,52.7807,52.2635,56.37,44,0,6.26,clear sky
346,Mogwase,ZA,-25.185,27.2665,47.07,38,0,3.74,clear sky
347,Kathu,TH,7.9178,98.3332,86.7,78,100,13.02,overcast clouds
348,Panguna,PG,-6.3164,155.4848,67.6,96,43,1.07,light rain
349,Nemuro,JP,43.3236,145.575,61.74,92,0,4.88,clear sky
350,Pathein,MM,16.7833,94.7333,79.86,86,100,10.94,moderate rain
